epoch,accuracy,loss,lr,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
29,0.9869999885559082,0.34582239389419556,0.001,0.9989795684814453,0.9971428513526917,0.31988516449928284,0.9999047517776489
30,0.987612247467041,0.336734414100647,0.001,0.9991632699966431,0.9973333477973938,0.3087860941886902,0.9999047517776489
31,0.9873469471931458,0.3321925103664398,0.001,0.9992856979370117,0.9939047694206238,0.31908532977104187,0.9999047517776489
32,0.9873061180114746,0.3365938663482666,0.001,0.9990612268447876,0.9974285960197449,0.2870773673057556,0.9998095035552979
33,0.9875918626785278,0.3275008797645569,0.001,0.9989591836929321,0.9974285960197449,0.2934585213661194,0.9999047517776489
34,0.988448977470398,0.3130076825618744,0.001,0.9990000128746033,0.996666669845581,0.31867265701293945,0.9999047517776489
35,0.9886530637741089,0.31117451190948486,0.001,0.999367356300354,0.9968571662902832,0.3200620412826538,1.0
36,0.987795889377594,0.31571638584136963,0.001,0.9990816116333008,0.9969523549079895,0.29760804772377014,0.9999047517776489
37,0.9884285926818848,0.31066006422042847,0.001,0.999367356300354,0.9980000257492065,0.2776205837726593,0.9999047517776489
38,0.989326536655426,0.294060081243515,0.001,0.9994285702705383,0.9971428513526917,0.2973942756652832,0.9998095035552979
39,0.9887959361076355,0.30227896571159363,0.001,0.9993061423301697,0.9972380995750427,0.30032408237457275,0.9997143149375916
40,0.989326536655426,0.2932136058807373,0.001,0.9993265271186829,0.9956190586090088,0.3144517242908478,1.0
41,0.9884285926818848,0.3070235848426819,0.001,0.9990203976631165,0.9959999918937683,0.23539197444915771,0.9998095035552979
42,0.9896326661109924,0.2830430865287781,0.001,0.9994081854820251,0.9974285960197449,0.2099449336528778,0.9999047517776489
43,0.9893877506256104,0.28517091274261475,0.001,0.9993265271186829,0.9974285960197449,0.2543128430843353,0.9999047517776489
44,0.9894897937774658,0.28480368852615356,0.001,0.999367356300354,0.9978095293045044,0.26892298460006714,0.9999047517776489
45,0.9901224374771118,0.27871179580688477,0.001,0.999550998210907,0.9972380995750427,0.2581803500652313,0.9999047517776489
46,0.989510178565979,0.2816700041294098,0.001,0.9992856979370117,0.9976190328598022,0.2529437839984894,1.0
47,0.9898979663848877,0.2726862132549286,0.001,0.9994081854820251,0.9970476031303406,0.2371937483549118,0.9999047517776489
48,0.9896122217178345,0.28193917870521545,0.001,0.9992244839668274,0.9975237846374512,0.2675801217556,1.0
49,0.9909999966621399,0.265779584646225,0.001,0.9994897842407227,0.9972380995750427,0.25630903244018555,0.9998095035552979
50,0.9953673481941223,0.15943412482738495,0.0005,0.9997959136962891,0.9985714554786682,0.11994030326604843,0.9999047517776489
51,0.9950612187385559,0.12842749059200287,0.0005,0.9998367428779602,0.9981904625892639,0.1393490582704544,0.9997143149375916
52,0.9958163499832153,0.12464885413646698,0.0005,0.9997550845146179,0.9973333477973938,0.12230519950389862,0.9999047517776489
53,0.9949796199798584,0.13252170383930206,0.0005,0.9997959136962891,0.9978095293045044,0.11652519553899765,1.0
54,0.9950816035270691,0.13046501576900482,0.0005,0.9998162984848022,0.9980000257492065,0.1245754137635231,0.9999047517776489
55,0.9950816035270691,0.12983088195323944,0.0005,0.9996938705444336,0.9972380995750427,0.14530228078365326,0.9999047517776489
56,0.9954490065574646,0.12998324632644653,0.0005,0.9997550845146179,0.9980000257492065,0.12641578912734985,1.0
57,0.9961428642272949,0.12640906870365143,0.0005,0.9998775720596313,0.9979047775268555,0.11281194537878036,0.9997143149375916
58,0.995102047920227,0.1320752054452896,0.0005,0.9998162984848022,0.9979047775268555,0.12653711438179016,0.9999047517776489
59,0.995306134223938,0.12961439788341522,0.0005,0.9997959136962891,0.9978095293045044,0.1276746690273285,0.9998095035552979
60,0.9958367347717285,0.12695765495300293,0.0005,0.9998162984848022,0.9968571662902832,0.1445564478635788,0.9997143149375916
61,0.9953877329826355,0.1311778724193573,0.0005,0.9997959136962891,0.9980000257492065,0.1252271682024002,0.9999047517776489
